siret,nom,effectif,activite_label,naf,code_postal,commune,departement,region,date_creation,nb_etablissements_ouverts,email,site_web,instagram
85083182700017,MIRYAMM LA NORMANDIE,01,Autre transformation et conservation de légumes,10.39A,27910,VASCŒUIL,27,28,2019-05-07,1,,,
84954065300011,EPLUCH'BIO,02,Autre transformation et conservation de légumes,10.39A,67170,GEUDERTHEIM,67,44,2019-03-15,1,,,
88448275300016,FALAFEL & CO (FALAFEL & CO),02,Autre transformation et conservation de légumes,10.39A,38360,SASSENAGE,38,84,2020-06-06,1,,,
90167901900017,LA NOMALI,01,Autre transformation et conservation de légumes,10.39A,33210,CASTETS ET CASTILLON,33,75,2021-07-26,1,,,
83208409900015,AIL SHAKE,02,Autre transformation et conservation de légumes,10.39A,26400,CREST,26,84,2017-08-10,1,,,
49410168600025,PATRICK GIRARD (LE COMPTOIR DE PYRENE),NN,Autre transformation et conservation de légumes,10.39A,64290,LASSEUBE,64,75,2021-09-30,1,,,
50298199600023,SOCIETE AGROALIMENTAIRE DU SUD EST DE LA REUNION (LES SAVEURS DE L ILE DE LA REUNION) (SASER),02,Autre transformation et conservation de légumes,10.39A,97442,SAINT-PHILIPPE,974,04,2015-12-15,1,,,
94990392600036,COCONT,NN,Autre transformation et conservation de légumes,10.39A,63360,SAINT-BEAUZIRE,63,84,2025-05-01,1,,,
95242836500011,L & M,NN,Autre transformation et conservation de légumes,10.39A,79130,BEUGNON-THIREUIL,79,75,2023-03-01,1,,,
93942399200014,CHAMPS DE LEGUMES INDUS (CDL INDUS),NN,Autre transformation et conservation de légumes,10.39A,02590,FORESTE,02,32,2025-01-01,1,,,
93327694100012,FEGO FERMENTED GOODS,NN,Autre transformation et conservation de légumes,10.39A,47000,AGEN,47,75,2024-09-20,1,,,
91786430800015,HENRICOT (HENRICOT),NN,Autre transformation et conservation de légumes,10.39A,65250,MONTOUSSE,65,76,2022-08-01,1,,,
92890378000023,LES SAISISSANTES,NN,Autre transformation et conservation de légumes,10.39A,22690,PLEUDIHEN-SUR-RANCE,22,53,2024-10-14,1,,,
91094173100010,MAISON AUTRET (MAISON AUTRET),01,Autre transformation et conservation de légumes,10.39A,29420,PLOUVORN,29,53,2022-03-01,1,,,
52939807500026,BIPER GORRI,01,Autre transformation et conservation de légumes,10.39A,64480,JATXOU,64,75,2012-12-01,1,,,
83522829700015,TAPAS ET LEGUMES,NN,Autre transformation et conservation de légumes,10.39A,64600,ANGLET,64,75,2018-03-01,1,,,
83952076400029,CECILE FEAT (MICHAL) (LA CUISINE PAYSANNE DE CECILE),NN,Autre transformation et conservation de légumes,10.39A,85150,LES ACHARDS,85,52,2022-07-26,1,,,
77763437900039,COOPERATIVE AGRICOLE LA BRETONNE,01,Autre transformation et conservation de légumes,10.39A,29250,SAINT-POL-DE-LEON,29,53,1989-02-01,1,,,
79822112300010,O.P LES FRUITS DE CHEVAL BLANC,01,Autre transformation et conservation de légumes,10.39A,84460,CHEVAL-BLANC,84,93,2013-10-10,1,,,
83096804600029,JARDI' CHEF,NN,Autre transformation et conservation de légumes,10.39A,42320,VALFLEURY,42,84,2022-12-31,1,,,
83165440500016,PRIMEUR DE SALAZIE (PRIMEUR DE SALAZIE),01,Autre transformation et conservation de légumes,10.39A,97433,SALAZIE,974,04,2017-09-01,1,,,
84477138600019,SAS LES FERMES DE CHASSAGNE (LES FERMES DE CHASSAGNE SAS),02,Autre transformation et conservation de légumes,10.39A,16240,VILLEFAGNAN,16,75,2018-12-03,1,,,
84520560800043,GRAINE DE CHOC (GRAINE DE CHOC),NN,Autre transformation et conservation de légumes,10.39A,59160,LILLE,59,32,2025-07-24,1,,,
92184155700017,GRAINES DE MALICE (EPI BREIZH),NN,Autre transformation et conservation de légumes,10.39A,56390,COLPO,56,53,2022-11-30,1,,,
94304267100017,BIOMILIA,NN,Autre transformation et conservation de légumes,10.39A,43430,FAY-SUR-LIGNON,43,84,2025-04-01,1,,,
97788216600019,CLEMENT FROELICH (TOFU DES ALPES),NN,Autre transformation et conservation de légumes,10.39A,38190,VILLARD-BONNOT,38,84,2023-08-01,1,,,
95356578500029,SOFAL,NN,Autre transformation et conservation de légumes,10.39A,84200,CARPENTRAS,84,93,2025-07-01,1,,,
98253792000018,SE ANGSTHELM ET FILS,NN,Autre transformation et conservation de légumes,10.39A,67880,KRAUTERGERSHEIM,67,44,2024-01-02,1,,,
99494397500015,LA TRIBU DU PALAIS,NN,Autre transformation et conservation de légumes,10.39A,22000,SAINT-BRIEUC,22,53,2025-12-09,1,,,
32362384300014,GREENYARD FROZEN INVESTMENTS FR (COMINES) SAS,NN,Autre transformation et conservation de légumes,10.39A,59560,COMINES,59,32,1982-04-01,1,,,
51244757400017,TERRE API,NN,Autre transformation et conservation de légumes,10.39A,55170,COUSANCES-LES-FORGES,55,44,2009-05-01,1,,,
75063010500021,TER SUD,NN,Autre transformation et conservation de légumes,10.39A,13440,CABANNES,13,93,2025-12-01,1,,,
79271679700024,JOHN LEJEUNE,NN,Autre transformation et conservation de légumes,10.39A,07270,EMPURANY,07,84,2019-05-16,1,,,
75289667000011,AGROPAUL,01,Autre transformation et conservation de légumes,10.39A,41120,LE CONTROIS-EN-SOLOGNE,41,24,2012-08-01,1,,,
79436386100012,VALERIE PINEAU (FOUCHIER) (EIRL VALERIE PINEAU),NN,Autre transformation et conservation de légumes,10.39A,79370,CELLES-SUR-BELLE,79,75,2013-08-19,1,,,
81010055200027,ER VRO (ER VRO),02,Autre transformation et conservation de légumes,10.39A,56400,PLOUGOUMELEN,56,53,2015-08-01,1,,,
81882220700010,BERNADETTE FREYTET ARU (ARU),NN,Autre transformation et conservation de légumes,10.39A,23150,MAISONNISSES,23,75,2016-04-02,1,,,
83325275200013,BIONANA,01,Autre transformation et conservation de légumes,10.39A,84200,CARPENTRAS,84,93,2017-11-01,1,,,
80275045500015,KER LEG' (BRETAGNE BIO EQUITE),02,Autre transformation et conservation de légumes,10.39A,56300,PONTIVY,56,53,2014-05-21,1,,,
90127816800017,L'ATELIER D'EMILE,01,Autre transformation et conservation de légumes,10.39A,49390,MOULIHERNE,49,52,2021-06-16,1,,,
90194168200022,LA CONSERVERIE JOVINIENNE,NN,Autre transformation et conservation de légumes,10.39A,89330,SAINT-JULIEN-DU-SAULT,89,27,2023-01-23,1,,,
90962508900018,MONA L HORSET (LA VOIE LACTO),NN,Autre transformation et conservation de légumes,10.39A,29970,TREGOUREZ,29,53,2022-02-01,1,,,
85041622300012,L'ATELIER TOFU,01,Autre transformation et conservation de légumes,10.39A,84220,GOULT,84,93,2019-05-25,1,,,
90306754400010,AMELIE NEUVIC,NN,Autre transformation et conservation de légumes,10.39A,14190,OUILLY-LE-TESSON,14,28,2021-09-01,1,,,
95156231300019,JEM ATELIER,02,Autre transformation et conservation de légumes,10.39A,82360,LAMAGISTERE,82,76,2023-04-07,1,,,
97817421700015,FOOH,01,Autre transformation et conservation de légumes,10.39A,59510,HEM,59,32,2023-07-27,1,,,
99455663700019,LA PANACEE,NN,Autre transformation et conservation de légumes,10.39A,32700,LECTOURE,32,76,2025-11-25,1,,,
98942496500014,FRENCH BLACK GARLIC,NN,Autre transformation et conservation de légumes,10.39A,34500,BEZIERS,34,76,2025-06-17,1,,,
97996204000015,CONSERVERIE LE CHAUDRON,NN,Autre transformation et conservation de légumes,10.39A,81310,LISLE-SUR-TARN,81,76,2023-09-15,1,,,
98413213400011,FREDERIQUE DE RAUGLAUDRE (TOK TOK),NN,Autre transformation et conservation de légumes,10.39A,09000,LOUBIERES,09,76,2024-02-01,1,,,
94960090200017,ENAK DELICE (ENAK DELICE),NN,Autre transformation et conservation de légumes,10.39A,27100,VAL-DE-REUIL,27,28,2023-03-15,1,,,
84530134000012,4ULTRA (4ULTRA),NN,Autre transformation et conservation de légumes,10.39A,33190,MORIZES,33,75,2019-01-02,1,,,
84816449700010,L ATELIER DES MARAICHERS,01,Autre transformation et conservation de légumes,10.39A,24100,BERGERAC,24,75,2019-01-25,1,,,
89268765800021,ALIGERMA,02,Autre transformation et conservation de légumes,10.39A,81000,ALBI,81,76,2021-10-31,1,,,
88209182000028,PLANT INNOVATION R&D,NN,Autre transformation et conservation de légumes,10.39A,49370,BECON-LES-GRANITS,49,52,2022-12-27,1,,,
88750936200018,BASIQUE. CONSERVERIE ARTISANALE,01,Autre transformation et conservation de légumes,10.39A,56570,LOCMIQUELIC,56,53,2020-08-01,1,,,
88759976900015,DU BIO DANS L'ASSIETTE (DU BIO DANS L'ASSIETTE),01,Autre transformation et conservation de légumes,10.39A,09500,MIREPOIX,09,76,2020-07-27,1,,,
88898935700023,COOPERATIVE DU BORN,01,Autre transformation et conservation de légumes,10.39A,40170,SAINT-JULIEN-EN-BORN,40,75,2021-03-31,1,,,
50461561800015,LAURIDAM,01,Transformation et conservation de fruits (confiture/compote),10.39B,84300,CAVAILLON,84,93,2008-05-21,3,,,
40024204600029,LA PORTE DOREE,01,Transformation et conservation de fruits (confiture/compote),10.39B,41700,CHEVERNY,41,24,2007-09-07,3,,,
79125586200017,LES DELICES DE FLO (LES DELICES DE FLO),02,Transformation et conservation de fruits (confiture/compote),10.39B,49260,LE PUY-NOTRE-DAME,49,52,2013-02-01,2,,,
80525668200016,LES CONFITURES DE PASCAL (LCP),NN,Transformation et conservation de fruits (confiture/compote),10.39B,92200,NEUILLY-SUR-SEINE,92,11,2014-10-15,2,,,
39960414900019,FRUIROUGE,01,Transformation et conservation de fruits (confiture/compote),10.39B,21700,NUITS-SAINT-GEORGES,21,27,1995-01-01,2,,,
80788288100020,LES CONFITURES DE LA HOUBE,02,Transformation et conservation de fruits (confiture/compote),10.39B,57370,SAINT-JEAN-KOURTZERODE,57,44,2016-01-01,2,,,
81961800000015,SAS MAISON MALNOU (PIMENT MAISON MALNOU),02,Transformation et conservation de fruits (confiture/compote),10.39B,64230,POEY-DE-LESCAR,64,75,2016-04-01,2,,,
85110642700012,LE PETIT RANDONNEUR (LE PETIT RANDONNEUR),02,Transformation et conservation de fruits (confiture/compote),10.39B,05260,CHABOTTES,05,93,2019-04-25,2,,,
88468887000010,BENJAMIN BOUSQUET (LA BARTAVELA),NN,Transformation et conservation de fruits (confiture/compote),10.39B,09300,NALZEN,09,76,2020-07-01,2,,,
50440487200013,LE JARDIN DE LYDIE,02,Transformation et conservation de fruits (confiture/compote),10.39B,17580,LE BOIS-PLAGE-EN-RE,17,75,2008-04-01,2,,,
49826896000016,LES CONFITURES DU CLOCHER,02,Transformation et conservation de fruits (confiture/compote),10.39B,17590,ARS-EN-RE,17,75,2007-03-31,2,,,
90099098700043,CIDRERIE HIC (SADIRAC),NN,Transformation et conservation de fruits (confiture/compote),10.39B,33670,SADIRAC,33,75,2024-07-18,2,,,
83872868100019,VOSG'BOCAUX,01,Transformation et conservation de fruits (confiture/compote),10.39B,88120,VAGNEY,88,44,2018-04-14,2,,,
43796548600032,ALEXANDRE AUDRAPT (LE PRESSOIR DES COTEAUX),01,Transformation et conservation de fruits (confiture/compote),10.39B,38470,QUINCIEU,38,84,2021-05-01,2,,,
79131355400010,BLR DISTRIBUTION,00,Transformation et conservation de fruits (confiture/compote),10.39B,97214,LORRAIN,972,02,2013-02-15,2,,,
81463653600017,ALEXANDRE DUVAL,NN,Transformation et conservation de fruits (confiture/compote),10.39B,50270,BARNEVILLE-CARTERET,50,28,2015-12-01,2,,,
84181923800012,LES GRILLEURS DU SUD OUEST (LGSO),01,Transformation et conservation de fruits (confiture/compote),10.39B,47140,PENNE-D'AGENAIS,47,75,2018-09-01,2,,,
88978759400015,BIO AND CO RUN TRANSFORM',NN,Transformation et conservation de fruits (confiture/compote),10.39B,97430,LE TAMPON,974,04,2020-12-01,2,,,
82992710200014,LES GOURMANDISES DU BONHOMME (LES GOURMANDISES DU BONHOMME),01,Transformation et conservation de fruits (confiture/compote),10.39B,68650,LE BONHOMME,68,44,2017-06-01,2,,,
89814828300010,LAURIANE FRISSONG,NN,Transformation et conservation de fruits (confiture/compote),10.39B,[NON-DIFFUSIBLE],BASTELICACCIA,2A,94,2021-02-23,2,,,
52810520800011,KARINE BATISTA-THOMAS (THOMAS),NN,Transformation et conservation de fruits (confiture/compote),10.39B,37360,SEMBLANCAY,37,24,2010-11-02,1,,,
45400235300034,SYLVAIN BRUNERIE (LE CHAUDON CREATIF),NN,Transformation et conservation de fruits (confiture/compote),10.39B,35000,RENNES,35,53,2025-09-01,1,,,
10157398800025,AGROGEL,NN,Transformation et conservation de fruits (confiture/compote),10.39B,84250,LE THOR,84,93,2026-04-28,1,,,
32486408100025,SOCIETE VOSGIENNE DE CONSERVES (SOVOCO),02,Transformation et conservation de fruits (confiture/compote),10.39B,88170,CHATENOIS,88,44,1997-11-01,1,,,
35129622300016,COOP COUFIDOU,01,Transformation et conservation de fruits (confiture/compote),10.39B,47110,SAINTE-LIVRADE-SUR-LOT,47,75,1989-04-14,1,,,
41886379100012,SARL LES JARDINS D'OSSAU,00,Transformation et conservation de fruits (confiture/compote),10.39B,64260,BUZY,64,75,1998-05-01,1,,,
41749213900015,THIBAUT SERVICE FRUITS (TSF),02,Transformation et conservation de fruits (confiture/compote),10.39B,82350,ALBIAS,82,76,1998-01-01,1,,,
42296257100010,SARL FARIBORNE,NN,Transformation et conservation de fruits (confiture/compote),10.39B,48800,PIED-DE-BORNE,48,76,1999-05-01,1,,,
42465799700021,NOIX ET NOIX,01,Transformation et conservation de fruits (confiture/compote),10.39B,38840,SAINT-HILAIRE-DU-ROSIER,38,84,2001-07-20,1,,,
32834060900044,CHATAIGNES MARRONS LIMOUSIN,NN,Transformation et conservation de fruits (confiture/compote),10.39B,87150,CHAMPAGNAC-LA-RIVIERE,87,75,2024-10-01,1,,,
33283666700011,CONSERVERIE ARTISANALE CHARLES DERUNGS,02,Transformation et conservation de fruits (confiture/compote),10.39B,95310,SAINT-OUEN-L'AUMONE,95,11,1985-06-15,1,,,
39413497700054,DELIS SA,NN,Transformation et conservation de fruits (confiture/compote),10.39B,35220,CHATEAUBOURG,35,53,2009-05-01,1,,,
38761217900037,VALERIE LE MELINAIRE (NATURE MILLENAIRE),NN,Transformation et conservation de fruits (confiture/compote),10.39B,44610,INDRE,44,52,2018-10-15,1,,,
80759004700021,APPLE DES CIMES (APPLE DES CIMES),NN,Transformation et conservation de fruits (confiture/compote),10.39B,05190,THEUS,05,93,2024-06-19,1,,,
80805887900038,SAS ALBERT,01,Transformation et conservation de fruits (confiture/compote),10.39B,27500,CORNEVILLE-SUR-RISLE,27,28,2023-01-02,1,,,
80870713700028,LE BRIN D'OLIVIER,NN,Transformation et conservation de fruits (confiture/compote),10.39B,26110,NYONS,26,84,2015-02-04,1,,,
89900990600012,ESPRIT NOIX (ESPRIT NOIX),NN,Transformation et conservation de fruits (confiture/compote),10.39B,18140,ARGENVIERES,18,24,2021-04-22,1,,,
84932864600013,L'ATELIER DES FRUITES (LAFR),NN,Transformation et conservation de fruits (confiture/compote),10.39B,97260,LE MORNE-ROUGE,972,02,2019-02-01,1,,,
88365127500025,POTIDOU,NN,Transformation et conservation de fruits (confiture/compote),10.39B,97119,VIEUX-HABITANTS,971,01,2023-11-16,1,,,
88433235400015,SOCIETE A RESPONSABILITEE LIMITEE LES PAYSANNES RIENT (SARL LES PAYSANNES RIENT) (SARL LES PAYSANNES R),02,Transformation et conservation de fruits (confiture/compote),10.39B,07270,NOZIERES,07,84,2020-06-16,1,,,
49981884700018,PETITE CHATAIGNE (PETITE CHATAIGNE),02,Transformation et conservation de fruits (confiture/compote),10.39B,07530,GENESTELLE,07,84,2007-07-01,1,,,
48975600700022,MAISON CAPPACCINI,01,Transformation et conservation de fruits (confiture/compote),10.39B,20128,ALBITRECCIA,2A,94,2019-05-20,1,,,
51114872800021,PEREZ FRERES,01,Transformation et conservation de fruits (confiture/compote),10.39B,47320,LAFITTE-SUR-LOT,47,75,2021-01-01,1,,,
45229395400023,L'AMANDON DU SOLEIL,01,Transformation et conservation de fruits (confiture/compote),10.39B,66600,RIVESALTES,66,76,2008-01-01,1,,,
50909050200014,ECO TENDANCE,NN,Transformation et conservation de fruits (confiture/compote),10.39B,32300,MONTAUT,32,76,2008-11-20,1,,,
48273490200018,DOMIBIO,NN,Transformation et conservation de fruits (confiture/compote),10.39B,74210,DOUSSARD,74,84,2005-06-01,1,,,
53195026900021,SAVEURS DU SOLEIL DE NYONS (S2N),01,Transformation et conservation de fruits (confiture/compote),10.39B,26110,NYONS,26,84,2012-02-01,1,,,
94863398700011,JULIETTE PIERZCHALA (GAUTHIER) (LES 4 SAISONS DE JULIETTE),NN,Transformation et conservation de fruits (confiture/compote),10.39B,62400,LOCON,62,32,2023-02-01,1,,,
94786615800027,POT-EN-CIEL KREOL,01,Transformation et conservation de fruits (confiture/compote),10.39B,97460,SAINT-PAUL,974,04,2023-05-01,1,,,
93321209400017,FLSO,NN,Transformation et conservation de fruits (confiture/compote),10.39B,47400,GONTAUD DE NOGARET,47,75,2024-09-13,1,,,
90075562000029,SAS MARTINET,01,Transformation et conservation de fruits (confiture/compote),10.39B,47330,CASTILLONNES,47,75,2022-01-01,1,,,
81297062200013,LE PRESSOIR,NN,Transformation et conservation de fruits (confiture/compote),10.39B,30210,ARGILLIERS,30,76,2015-08-03,1,,,
84768374500016,BLOC,01,Transformation et conservation de fruits (confiture/compote),10.39B,84200,CARPENTRAS,84,93,2019-01-01,1,,,
91183881100014,LES BOCAUX A PAPA,NN,Transformation et conservation de fruits (confiture/compote),10.39B,49800,TRELAZE,49,52,2022-03-11,1,,,
82364876100018,LES PETITS POUCETS (LES PETITS POUCETS),NN,Transformation et conservation de fruits (confiture/compote),10.39B,47550,BOE,47,75,2016-11-09,1,,,
83535876300018,TJP,02,Transformation et conservation de fruits (confiture/compote),10.39B,37190,AZAY-LE-RIDEAU,37,24,2018-02-01,1,,,
83886563200015,SEVE'UP (SEVE'UP) (SEVE'UP),00,Transformation et conservation de fruits (confiture/compote),10.39B,67270,WICKERSHEIM-WILSHAUSEN,67,44,2018-03-01,1,,,
77727643700012,COOPERATIVE DU TREILHOU,NN,Transformation et conservation de fruits (confiture/compote),10.39B,82300,CAUSSADE,82,76,1900-01-01,1,,,
78172449700016,COOPERATIVE PRUNICOLE BERGERACOIS,00,Transformation et conservation de fruits (confiture/compote),10.39B,24520,SAINT-NEXANS,24,75,1900-01-01,1,,,
81537013500049,ATELIER 78,NN,Transformation et conservation de fruits (confiture/compote),10.39B,75011,PARIS,75,11,2024-08-12,1,,,
82787304300018,EURL DE LA RIGONNE,NN,Transformation et conservation de fruits (confiture/compote),10.39B,47260,CASTELMORON-SUR-LOT,47,75,2017-01-02,1,,,
83138536400011,LES BOSSES (CONSERVERIE LES BOSSES FERME D'EDMEE MARMITE SAVOYARDE),02,Transformation et conservation de fruits (confiture/compote),10.39B,74200,ALLINGES,74,84,2017-07-31,1,,,
79472767700021,EMILE MOUKONGO MOUANDA (LES DELICES D EMILE),NN,Transformation et conservation de fruits (confiture/compote),10.39B,47110,SAINTE-LIVRADE-SUR-LOT,47,75,2019-09-01,1,,,
82912571500013,CLAIRE SCHARSCHMIDT (SAVIGNAC) (CLAIRDEFRUITS),NN,Transformation et conservation de fruits (confiture/compote),10.39B,88150,THAON-LES-VOSGES,88,44,2017-05-15,1,,,
87840477100015,LA MANTALPES,NN,Transformation et conservation de fruits (confiture/compote),10.39B,05300,VAL BUECH-MEOUGE,05,93,2019-09-20,1,,,
79950646400020,ESTELLE BUSDON (LES FEES MERES),NN,Transformation et conservation de fruits (confiture/compote),10.39B,07570,DESAIGNES,07,84,2023-06-01,1,,,
83379676600016,ETIENNE CLOT,NN,Transformation et conservation de fruits (confiture/compote),10.39B,26730,LA BAUME-D'HOSTUN,26,84,2018-01-02,1,,,
97820129100017,VERRES DURS,NN,Transformation et conservation de fruits (confiture/compote),10.39B,05800,SAINT-MAURICE-EN-VALGODEMARD,05,93,2023-07-25,1,,,
98841376100012,LES 4 GOURMANDS,NN,Transformation et conservation de fruits (confiture/compote),10.39B,35190,SAINT-PERN,35,53,2025-06-20,1,,,
98875970000012,LES VERGERS DE LOUSPEYROUX,NN,Transformation et conservation de fruits (confiture/compote),10.39B,47290,BEAUGAS,47,75,2025-06-23,1,,,
44060265400020,AU PRESSOIR DE LA VALLEE (LES JUS DE FRUITS TONI'K - LES CONFITURES DE CELIA - LES SIROPS DE CELIA),02,Transformation et conservation de fruits (confiture/compote),10.39B,68126,BENNWIHR,68,44,2009-08-12,1,,,
48898443600011,SARL SEGIDA (EZTIGAR),02,Transformation et conservation de fruits (confiture/compote),10.39B,64120,SAINT-JUST-IBARRE,64,75,2006-03-09,1,,,
45325989700024,MUSOLINO TRADITION,02,Transformation et conservation de fruits (confiture/compote),10.39B,73700,BOURG-SAINT-MAURICE,73,84,2009-01-01,1,,,
10149538000012,PISTIL,NN,Transformation et conservation de fruits (confiture/compote),10.39B,13600,LA CIOTAT,13,93,2026-02-20,1,,,
50030684000025,LE PAULMIER (LE PAULMIER - POMACEO),NN,Transformation et conservation de fruits (confiture/compote),10.39B,61160,MONTREUIL-LA-CAMBE,61,28,2008-09-22,1,,,
49109719200109,EMGAN (LAURENT K),NN,Chocolat et confiserie,10.82Z,44117,SAINT-ANDRE-DES-EAUX,44,52,2025-04-15,2,,,
91015746000015,TZOPELIA,NN,Chocolat et confiserie,10.82Z,35140,SAINT-AUBIN-DU-CORMIER,35,53,2022-03-01,2,,,
84186545400018,LADY MERVEILLES,01,Chocolat et confiserie,10.82Z,56890,SAINT-AVE,56,53,2018-08-03,2,,,
44768072900012,FACON CHOCOLAT,02,Chocolat et confiserie,10.82Z,26400,CREST,26,84,2003-03-01,2,,,
34446810300017,AU RUCHER DE PROVENCE,02,Chocolat et confiserie,10.82Z,26200,MONTELIMAR,26,84,1988-04-05,2,,,
50252451500058,NUTRIVITALITE,NN,Chocolat et confiserie,10.82Z,89000,AUXERRE,89,27,2021-09-01,2,,,
89893929300012,ATTITUDE CHOCOLAT (ATTITUDE CHOCOLAT),NN,Chocolat et confiserie,10.82Z,06750,ANDON,06,93,2021-04-28,2,,,
85270061600018,CONTINENTAL COFFEE SA,NN,Chocolat et confiserie,10.82Z,,,,,2019-07-22,2,,,
80744174600011,CHOC-HOLA,02,Chocolat et confiserie,10.82Z,44000,NANTES,44,52,2014-10-17,2,,,
85161249900018,GREGOIRE MAURY PATISSERIE CHOCOLATERIE (GREGOIRE MAURY PATISSERIE CHOCOLATERIE),02,Chocolat et confiserie,10.82Z,39220,LES ROUSSES,39,27,2019-06-12,2,,,
78842726800024,LA CHOCOLATERIE ARTISANALE,01,Chocolat et confiserie,10.82Z,73230,SAINT-ALBAN-LEYSSE,73,84,2014-09-01,1,,,
78880729500035,DAMIEN PERRUCHE (PATISSERIE PERRUCHE),02,Chocolat et confiserie,10.82Z,01290,CROTTET,01,84,2017-08-15,1,,,
75076865700033,BIO CONNEXION,02,Chocolat et confiserie,10.82Z,56450,THEIX-NOYALO,56,53,2022-02-01,1,,,
75342925700029,CHOCOLATERIE DU VAL JANON (CHOCOLATERIE DU VAL JANON),01,Chocolat et confiserie,10.82Z,42100,SAINT-ETIENNE,42,84,2018-01-16,1,,,
40365347000035,CHOCOLATERIE DU PLESSIS,NN,Chocolat et confiserie,10.82Z,43700,SAINT-GERMAIN-LAPRADE,43,84,2024-08-26,1,,,
44518325400017,CARRE D'ART,NN,Chocolat et confiserie,10.82Z,30210,CABRIERES,30,76,2003-02-01,1,,,
38542002100011,ANCIENS ETABLISSEMENTS CHOLVY-ARTIGE,01,Chocolat et confiserie,10.82Z,07000,PRIVAS,07,84,1954-01-01,1,,,
35043145800032,CHOCOLATERIE DU PECQ,NN,Chocolat et confiserie,10.82Z,37170,CHAMBRAY-LES-TOURS,37,24,2015-06-01,1,,,
89043721300014,SENSEI FAMILY,01,Chocolat et confiserie,10.82Z,75011,PARIS,75,11,2020-10-21,1,,,
88833714400024,ERE ETHIQUE,01,Chocolat et confiserie,10.82Z,26190,SAINT-NAZAIRE-EN-ROYANS,26,84,2022-04-01,1,,,
50410454800012,SAS FRIGOULETTE (FRIGOULETTE),02,Chocolat et confiserie,10.82Z,26400,BEAUFORT-SUR-GERVANNE,26,84,2008-06-01,1,,,
50895504400021,MARIE KERBOAS (FOUILHE) (LA PERRIERE),NN,Chocolat et confiserie,10.82Z,11370,LEUCATE,11,76,2013-05-01,1,,,
53182152800043,XAVIER MARTIN (LE COING DES FRUITS),01,Chocolat et confiserie,10.82Z,84800,L'ISLE-SUR-LA-SORGUE,84,93,2021-12-06,1,,,
91311274400010,JORDAN LUCAZEAU-DEFAY (DEFAY) (WU JI),NN,Chocolat et confiserie,10.82Z,05120,L'ARGENTIERE-LA-BESSEE,05,93,2022-04-30,1,,,
91263481300022,LA CLANDESTINE (BARRE CLANDESTINE),NN,Chocolat et confiserie,10.82Z,30980,SAINT-DIONISY,30,76,2026-06-01,1,,,
84250418500039,PASSION CONFISERIE (PASSION CONFISERIE),NN,Chocolat et confiserie,10.82Z,18390,SAINT-GERMAIN-DU-PUY,18,24,2026-06-01,1,,,
